Post,Caption,Date,likesComment,IdFatherComment,IdChildComment,Username,UserComment
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-12-13T17:05:50.000Z,0,1,,tinanotfey,@preet829
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-12-14T15:39:34.000Z,0,2,,markmywordz420,Make sure you wear a crop top with a flannel over it. lolololol. #tesla #garbage
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-12-15T02:29:07.000Z,0,3,,zen_health_fitness,"Use my referral link to receive 1,000 free Supercharger miles https://ts.la/maksood52013"
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-12-15T04:15:44.000Z,1 ,4,,vague_canvas,@smasonnn can’t stop doing it
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-12-19T18:41:54.000Z,0,5,,oklanden,@lenegjostein
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-12-20T04:00:03.000Z,0,6,,arobbins12,Haha @jeffsroger :)
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2021-01-05T23:52:53.000Z,0,7,,jeremy3carter,@_lennonjane_
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2021-01-05T23:53:46.000Z,0,8,,jeremy3carter,@__sarahhhhhhhh
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2021-01-05T23:54:17.000Z,1 ,9,,jeremy3carter,@hannahcurtis01 @mattcurtis01
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2021-01-05T23:54:41.000Z,2 ,10,,jeremy3carter,@makadamianut_96
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2021-01-05T23:54:56.000Z,0,11,,jeremy3carter,@nathalyvvasquez
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2021-01-06T18:22:23.000Z,1 ,12,,pushkidsoffbikes_,@emilyghardy
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2021-01-08T00:22:06.000Z,1 ,13,,lilcatu,@manelbelha magicobus
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2021-01-11T02:18:38.000Z,0,14,,boss.2196,👍👍👍👍
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2021-01-12T17:32:35.000Z,1 ,15,,soren_feistel,FREAK FREAKY FREAKSHOW 😉😉😉😉😉😉😉😉😉😉😉
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2021-01-13T12:04:48.000Z,1 ,16,,ericwjya,@ratnaawy hehe yuk beli tesla
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2021-01-14T21:47:27.000Z,1 ,17,,janika_overgaard,@julie_lundsteen @michellebjoerklund 😂😂
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2021-01-15T21:17:12.000Z,0,18,,jimbodie,@emmadayyay
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2021-01-16T08:18:51.000Z,1 ,19,,senator_blair,@mackaivr
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2021-01-16T10:18:28.000Z,0,20,,marie_in_amsterdam,@pkbeijing
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2021-01-16T17:25:45.000Z,0,21,,muhammadnaumaniqbal,That's why im eagerly waiting for @teslamotors to come in Pakistan 🇵🇰 😂🔥
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2021-01-17T09:51:44.000Z,0,22,,_hugomnt_,@lamigatina
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2021-01-18T18:27:22.000Z,0,23,,usc_srt8,@fit_affiliated
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-10-25T02:57:37.000Z,0,24,,valemoxito,@vizzleforshizzle Orgi
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-10-25T08:07:19.000Z,1 ,25,,str8teneight,@itbehiten us 😂😂😂
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-10-29T04:17:41.000Z,1 ,26,,marlongallardo,@marlenarenae
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-11-03T04:55:49.000Z,0,27,,kevin23d,Que les haga un tema @almightytgc
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-11-20T16:57:12.000Z,0,28,,singardeepakjaiswal,Love you
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-11-26T04:27:47.000Z,0,29,,_the_real_izzy,@ocampo_juanc
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-11-28T13:14:47.000Z,0,30,,siforov,🔥👍💣
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-12-01T08:47:03.000Z,0,31,,leeon_mod3l,@paniagua_ambar21
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-12-10T14:34:20.000Z,0,32,,laurabfs,@felipe_moscatelly
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-12-10T15:01:39.000Z,1 ,33,,felipe_moscatelly,Akkakaak
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-12-11T11:03:47.000Z,0,34,,kayla_smith7428,@tiffany_goldie she hates it 😂😂😂
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-12-12T03:11:08.000Z,0,35,,atlasfitnessclub_ct,Wow 🤩  💪🏻😎!
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-12-13T02:08:01.000Z,1 ,36,,gotdoughhhh_,@k.streeet
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-08-31T13:13:59.000Z,0,37,,robbbie__p,@tessabooyens ❤️🔥🔥😂😂😍
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-09-03T15:46:11.000Z,0,38,,thompson_g88,Not as fast as a tycan
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-09-05T20:35:30.000Z,1 ,39,,angelvivaldiofficial,Verified
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-09-15T04:07:57.000Z,0,40,,g_gregluis,🔥
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-09-15T21:55:28.000Z,0,41,,nathan.kessinger,@rihabsobh
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-09-19T06:00:41.000Z,0,42,,eriikjung,@victoriously13
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-09-29T01:46:28.000Z,0,43,,marcelzerbini,@ra.fa.z
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-10-07T08:03:24.000Z,0,44,,losvegasoftime,#xtina😍😍😍😍😍😍😍😍😍😍😍😍😍
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-10-14T11:42:17.000Z,0,45,,voxandoz,🔥🔥🔥🔥
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-10-23T18:22:49.000Z,0,46,,fernanda.escareno,Jajaja asi hago mi cara cuando aceleras 🙊 @danielde.avila
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-07-12T15:29:08.000Z,0,47,,martinsmida,Haha 😆
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-07-13T12:01:57.000Z,0,48,,carofortunaok,🔥👏🏽
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-07-15T02:00:08.000Z,2 ,49,,thnkcreatively,@iamcardib
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-07-19T02:11:10.000Z,1 ,50,,wake_upmypeople,Ik that’s not cardi in the background
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-07-23T01:18:43.000Z,1 ,51,,soloveomemes12,"This happened to me in Boston, I did a drive test haha"
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-07-23T22:20:50.000Z,0,52,,mustafaaaaaa_tiry,@gadija_tiry
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-08-01T21:23:57.000Z,1 ,53,,ebrulette,@gokcekorpeoglu yeyyyy 😁👍🏻
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-08-12T16:43:52.000Z,0,54,,nass_ay,@s_chabs6 c’est pour quand ?😂😂😂❤️
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-08-15T16:51:13.000Z,0,55,,santiagocedill0,prueba sola
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-08-16T03:30:47.000Z,0,56,,barais_r1an5,@mccaverinha
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-08-17T03:36:14.000Z,0,57,,mayur__gupta,I found you here @radhika.wali
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-08-21T03:14:54.000Z,1 ,58,,_osaze7,@shad3zofgray 👊🏾❤️
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-08-29T10:50:54.000Z,1 ,59,,aleixabrado,@nataliacnbl
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-06-14T21:12:34.000Z,0,60,,filiprocksen,@svenpunktcom
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-06-14T21:13:18.000Z,0,61,,filiprocksen,@reneedepaulaa
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-06-15T21:39:42.000Z,0,62,,alimk1iran,@free6630
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-06-18T01:26:28.000Z,0,63,,curvy.curvin,💕💕😅
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-06-22T05:13:57.000Z,0,64,,julia.oravitz,@jcoravitz
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-06-22T05:14:08.000Z,0,65,,julia.oravitz,@lococodamato 😂
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-06-22T06:30:59.000Z,1 ,66,,zoom_m3p,@xochibabyx3
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-06-25T19:14:04.000Z,0,67,,majorantzsolt,👏👏👏
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-06-26T22:49:55.000Z,1 ,68,,ash.pat.88,@nath_frank_mack
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-06-27T07:34:09.000Z,0,69,,bigstang,@harrysandersseo haha those feels
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-06-29T02:45:23.000Z,1 ,70,,gabriella_mammana,@gokarolina
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-07-01T19:09:44.000Z,1 ,71,,jigaar,@tani_
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-07-02T17:59:49.000Z,0,72,,daniel.dvh,@olga_sophie_b 😜
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-05-20T05:08:15.000Z,1 ,73,,goldpageg,What is he doing to her?
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-05-21T20:28:03.000Z,1 ,74,,icy_hennessey,@footballbaztv
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-05-25T16:37:24.000Z,2 ,75,,paulthepilot3,@lupita_briganti @missvera.ig @notcolin938
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-05-26T11:24:37.000Z,0,76,,purple_xenie,pharaka kiwa
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-05-27T07:23:33.000Z,0,77,,jimmyjamoco,Those induction motors have a lot of torque
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-05-28T05:41:40.000Z,0,78,,lshookz,@alaxwoody us today 😂
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-05-28T17:28:23.000Z,0,79,,chewy__huang,@lowkeysavvvvv
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-06-04T13:42:46.000Z,2 ,80,,sanjog_chhabra,tesla🇮🇳🇮🇳 who wants hit like🙂
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-06-04T15:38:44.000Z,0,81,,alldadstalk,@allmumstalk 😅
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-06-11T23:14:41.000Z,0,82,,_zrobenz,forehead
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-06-13T19:46:24.000Z,1 ,83,,holyt0ria,@la.mikiii
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-06-14T11:14:25.000Z,0,84,,slyzerxlive,@abigailmo123love
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-04-15T20:46:13.000Z,1 ,85,,millenniumcreek,Crazy fast acceleration cannot get old.
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-04-19T16:14:56.000Z,0,86,,mynkryptdlife,Im done. 🔥 so is she
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-04-30T15:51:17.000Z,0,87,,i.a.m_jordan,Instant take off🚀✨
